#1
ज्यायसी|jyāyasī|jyāyas — better, more excellent (comparative; nom. sg. fem., agreeing with buddhiḥ)
प्रकृतिजैर्गुणैः|prakṛti-jaiḥ guṇaiḥ|prakṛti — nature (first compound member);;ja — born (prakṛti-ja: 'born of nature', instr. pl.; -aiḥ + g- → -air g-);;guṇa — one of the three guṇas (instr. pl.; kept untranslated per convention)
#6
कर्मेन्द्रियाणि|karma-indriyāṇi|karman — action (first compound member);;indriya — sense-organ (karma-indriya: 'organ of action', acc. pl.; -a + i- → -e-)
संयम्य|saṃyamya|sam-yam — to restrain, control (saṃyamya: gerund 'having restrained')
य|yaḥ|yad — who (yaḥ: nom. sg. masc. relative; -aḥ before ā- elided, plain y)
आस्ते|āste|ās — to sit, remain (āste: present middle 3rd sg.)
मनसा|manasā|manas — mind (instr. sg. 'with the mind')
स्मरन्|smaran|smṛ — to remember, dwell on (smaran: present participle, nom. sg. masc. 'thinking of, dwelling on')
--
इन्द्रियार्थान्विमूढात्मा|indriya-arthān vimūḍha-ātmā|indriya — sense (first compound member);;artha — object (indriya-artha: 'sense-object', acc. pl.; -a + a- → -ā-);;vimūḍha — confused, deluded (first compound member);;ātman — self, mind (vimūḍha-ātman: 'whose self is deluded', nom. sg.; -a + ā- → -ā-)
मिथ्याचारः|mithyā-cāraḥ|mithyā — falsely, wrongly (first compound member);;cāra — conduct, practice (mithyā-cāra: 'one of false conduct, a hypocrite', nom. sg.)
स|saḥ|tad — that, he (saḥ: nom. sg. masc.; the pronoun sa drops its visarga before any consonant)
उच्यते|ucyate|vac — to speak, call (ucyate: present passive 3rd sg. 'is called')
#7
यस्त्विन्द्रियाणि|yaḥ tu indriyāṇi|yad — who (yaḥ: nom. sg. masc. relative; -aḥ + t- → -as t-);;tu — but;;indriya — sense (indriyāṇi: acc. pl.)
मनसा|manasā|manas — mind (instr. sg.)
नियम्यारभतेऽर्जुन|niyamya ārabhate arjuna|ni-yam — to restrain, control (niyamya: gerund 'having restrained');;ā-rabh — to undertake, begin (ārabhate: present middle 3rd sg. 'undertakes'; niyamya + ā- → niyamyā-);;Arjuna — Arjuna (vocative; ārabhate + a- → ārabhate 'rjuna)
--
कर्मेन्द्रियैः|karma-indriyaiḥ|karman — action (first compound member);;indriya — organ (karma-indriya: 'organ of action', instr. pl.; -a + i- → -e-)
कर्मयोगमसक्तः|karma-yogam asaktaḥ|karman — action (first compound member);;yoga — yoga (karma-yoga: 'the yoga of action', acc. sg., object of ārabhate);;a-sakta — unattached (asaktaḥ: nom. sg.)
स|saḥ|tad — that, he (nom. sg. masc.)
विशिष्यते|viśiṣyate|vi-śiṣ — to excel, be distinguished (viśiṣyate: present passive 3rd sg.)
#8
नियतं|niyatam|ni-yam — to prescribe, fix (niyata: past participle 'prescribed, fixed, obligatory', acc. sg. neut., agreeing with karma)
कुरु|kuru|kṛ — to do (kuru: imperative 2nd sg. 'do!')
कर्म|karma|karman — action (acc. sg., object of kuru)
त्वं|tvam|tvam — you (nom. sg.)
कर्म|karma|karman — action (nom. sg., subject of the next clause)
ज्यायो|jyāyaḥ|jyāyas — better, more excellent (comparative; nom. sg. neut.; -aḥ before h- → -o)
ह्यकर्मणः|hi akarmaṇaḥ|hi — indeed, for (hi + a- → hy a-);;a-karman — inaction, non-action (akarmaṇaḥ: abl. sg. 'than inaction')
--
शरीरयात्रापि|śarīra-yātrā api|śarīra — body (first compound member);;yātrā — journey, maintenance (śarīra-yātrā: 'the maintenance of the body', nom. sg.);;api — even (yātrā + a- → yātrā-)
च|ca|ca — and
ते|te|tvam — you (te: enclitic gen. sg. 'your')
न|na|na — not
प्रसिद्ध्येदकर्मणः|prasiddhyet akarmaṇaḥ|pra-sidh — to succeed, be accomplished (prasiddhyet: optative 3rd sg. 'would be accomplished'; Wikisource's doubled dh; see note on the BORI reading prasidhyet, single dh);;a-karman — inaction (akarmaṇaḥ: abl. sg. 'without acting')
#9
यज्ञार्थात्कर्मणोऽन्यत्र|yajña-arthāt karmaṇaḥ anyatra|yajña — sacrifice (first compound member);;artha — purpose, sake (yajña-artha: 'the purpose of sacrifice', arthāt: abl. sg.; yajña + a- → yajñā-);;karman — action (karmaṇaḥ: abl. sg.; -aḥ + a- → -o with avagraha, karmaṇo 'nyatra);;anyatra — elsewhere, other than (with the ablative, 'except')
लोकोऽयं|lokaḥ ayam|loka — world (nom. sg.; -aḥ + a- → -o with avagraha);;idam — this (ayam: nom. sg. masc.)
कर्मबन्धनः|karma-bandhanaḥ|karman — action (first compound member);;bandhana — bond, fetter (karma-bandhana: 'bound by action', nom. sg.)
--
तदर्थं|tad-artham|tad — that (first compound member);;artha — purpose, sake (tad-artham: 'for that purpose', adverbial acc.)
कर्म|karma|karman — action (acc. sg., object of samācara)
कौन्तेय|kaunteya|Kaunteya — son of Kuntī, Arjuna (vocative)
मुक्तसङ्गः|mukta-saṅgaḥ|mukta — released, free (first compound member);;saṅga — attachment, clinging (mukta-saṅga: 'free from attachment', nom. sg.)
समाचर|samācara|sam-ā-car — to perform, practice (samācara: imperative 2nd sg. 'perform!')
#10
सहयज्ञाः|saha-yajñāḥ|saha — together with (first compound member);;yajña — sacrifice (saha-yajña: 'together with sacrifice', acc. pl., bahuvrīhi describing prajāḥ)
प्रजाः|prajāḥ|prajā — creature, offspring (acc. pl.)
सृष्ट्वा|sṛṣṭvā|sṛj — to create, emit (sṛṣṭvā: gerund 'having created')
पुरोवाच|purā uvāca|purā — formerly, of old (purā + u- → puro-);;vac — to speak (uvāca: perfect 3rd sg. 'said')
प्रजापतिः|prajāpatiḥ|Prajāpati — 'lord of creatures', the Vedic creator-deity (nom. sg.)
--
अनेन|anena|idam — this (anena: instr. sg. 'by this', referring to yajña)
प्रसविष्यध्वमेष|prasaviṣyadhvam eṣaḥ|pra-sū — to bring forth, procreate (prasaviṣyadhvam: future middle 2nd pl. 'you shall multiply');;idam — this (eṣaḥ: nom. sg., referring to yajña; prasaviṣyadhvam + e- written joined; like sa, eṣa/etad irregularly drops its visarga before the following consonant v-, rather than becoming -o)
वोऽस्त्विष्टकामधुक्|vaḥ astu iṣṭa-kāma-dhuk|tvam — you (vaḥ: enclitic dat. pl. 'to you'; -aḥ + a- → -o with avagraha);;as — to be (astu: imperative 3rd sg. 'let it be!'; astu + i- → astv i-);;iṣṭa — desired (first compound member);;kāma — wish, desire (second compound member);;duh — to milk, yield (dhuk: 'that which yields', iṣṭa-kāma-dhuk: 'the yielder of desired things', nom. sg., like the wish-fulfilling cow)
#11
देवान्भावयतानेन|devān bhāvayata anena|deva — god (devān: acc. pl.);;bhū — to cause to flourish, nourish (bhāvayata: causative imperative 2nd pl. 'nourish!');;idam — this (anena: instr. sg. 'by this'; bhāvayata + a- → bhāvayatā-)
ते|te|tad — that, they (te: nom. pl., referring to devāḥ)
देवा|devāḥ|deva — god (nom. pl.; visarga dropped before bh-)
भावयन्तु|bhāvayantu|bhū — to nourish, cause to flourish (bhāvayantu: causative imperative 3rd pl. 'let them nourish')
वः|vaḥ|tvam — you (vaḥ: enclitic acc. pl. 'you')
--
परस्परं|parasparam|paraspara — one another, mutually (adverbial acc.)
भावयन्तः|bhāvayantaḥ|bhū — to nourish (bhāvayantaḥ: causative present participle, nom. pl. 'nourishing')
श्रेयः|śreyaḥ|śreyas — the good, the better thing (acc. sg. neut.)
परमवाप्स्यथ|param avāpsyatha|para — supreme (param: acc. sg. neut.);;ava-āp — to attain, obtain (avāpsyatha: future 2nd pl. 'you shall attain')
#12
इष्टान्भोगान्हि|iṣṭān bhogān hi|iṣṭa — desired (iṣṭān: acc. pl.);;bhoga — enjoyment (bhogān: acc. pl.);;hi — indeed, for
वो|vaḥ|tvam — you (vaḥ: enclitic dat. pl. 'to you'; -aḥ before d- → -o)
देवा|devāḥ|deva — god (nom. pl.; visarga dropped before d-)
दास्यन्ते|dāsyante|dā — to give (dāsyante: future middle 3rd pl. 'will give')
यज्ञभाविताः|yajña-bhāvitāḥ|yajña — sacrifice (first compound member);;bhāvita — propitiated, made to flourish (yajña-bhāvita: 'propitiated by sacrifice', nom. pl.)
--
तैर्दत्तानप्रदायैभ्यो|taiḥ dattān apradāya ebhyaḥ|tad — that, they (taiḥ: instr. pl. 'by them', referring to the gods; -aiḥ + d- → -air d-);;dā — to give (dattān: past participle, acc. pl. 'given [things]');;a-pra-dā — to not give in return (apradāya: negative gerund 'without giving back');;idam — this, they (ebhyaḥ: dat. pl. 'to them'; apradāya + e- → apradāyai-)
यो|yaḥ|yad — who (nom. sg. masc. relative; -aḥ before bh- → -o)
भुङ्क्ते|bhuṅkte|bhuj — to enjoy (bhuṅkte: present middle 3rd sg.)
स्तेन|stenaḥ|stena — a thief (nom. sg.; visarga elided before e-)
एव|eva|eva — indeed, verily
सः|saḥ|tad — that, he (nom. sg. masc.)
#13
यज्ञशिष्टाशिनः|yajña-śiṣṭa-aśinaḥ|yajña — sacrifice (first compound member);;śiṣṭa — remainder, what is left over (second compound member; śiṣṭa + a- → śiṣṭā-);;aśin — eater (yajña-śiṣṭa-aśin: 'eater of the remnants of sacrifice', nom. pl.)
सन्तो|santaḥ|as — to be (sant: present participle 'being', santaḥ: nom. pl.; -aḥ before m- → -o)
मुच्यन्ते|mucyante|muc — to release (mucyante: present passive 3rd pl. 'are freed')
सर्वकिल्बिषैः|sarva-kilbiṣaiḥ|sarva — all (first compound member);;kilbiṣa — sin, fault (sarva-kilbiṣa: 'all sins', instr. pl. 'from all sins')
--
भुञ्जते|bhuñjate|bhuj — to eat, enjoy (bhuñjate: present middle 3rd pl.)
ते|te|tad — that, they (nom. pl.)
त्वघं|tu agham|tu — but (tu + a- → tv a-);;agha — sin, evil (agham: acc. sg., object of bhuñjate)
पापा|pāpāḥ|pāpa — sinful, wicked (nom. pl.; visarga dropped before y-)
ये|ye|yad — who (nom. pl. relative)
पचन्त्यात्मकारणात्|pacanti ātma-kāraṇāt|pac — to cook (pacanti: present 3rd pl.; -i + ā- → -y ā-);;ātma — self (first compound member);;kāraṇa — reason, cause (ātma-kāraṇāt: abl. sg. 'for their own sake')
#14
अन्नाद्भवन्ति|annāt bhavanti|anna — food (annāt: abl. sg. 'from food'; -āt + bh- → -ād bh-);;bhū — to come to be, arise (bhavanti: present 3rd pl.)
भूतानि|bhūtāni|bhūta — being, creature (nom. pl.)
पर्जन्यादन्नसम्भवः|parjanyāt anna-sambhavaḥ|Parjanya — the rain-god, rain (parjanyāt: abl. sg. 'from rain'; -āt + a- → -ād a-);;anna — food (first compound member);;sambhava — arising, origin (anna-sambhava: 'the arising of food', nom. sg.)
--
यज्ञाद्भवति|yajñāt bhavati|yajña — sacrifice (yajñāt: abl. sg. 'from sacrifice'; -āt + bh- → -ād bh-);;bhū — to arise (bhavati: present 3rd sg.)
पर्जन्यो|parjanyaḥ|Parjanya — rain, the rain-god (nom. sg.; visarga before y- → -o)
यज्ञः|yajñaḥ|yajña — sacrifice (nom. sg.)
कर्मसमुद्भवः|karma-samudbhavaḥ|karman — action (first compound member);;samudbhava — arising, origination (karma-samudbhava: 'arisen from action', nom. sg.)
#15
कर्म|karma|karman — action (acc. sg., object of viddhi)
ब्रह्मोद्भवं|brahma-udbhavam|brahman — brahman (first compound member; kept untranslated per convention);;udbhava — arising, origin (brahma-udbhava: 'arisen from brahman', acc. sg. neut., agreeing with karma)
विद्धि|viddhi|vid — to know (viddhi: imperative 2nd sg. 'know!')
ब्रह्माक्षरसमुद्भवम्|brahma akṣara-samudbhavam|brahman — brahman (brahma: acc. sg. neut., a second object of viddhi; brahma + a- → brahmā-);;akṣara — the imperishable (first compound member);;samudbhava — arising, origin (akṣara-samudbhava: 'arisen from the imperishable', acc. sg. neut.)
--
तस्मात्सर्वगतं|tasmāt sarva-gatam|tad — that (tasmāt: abl. sg. 'therefore');;sarva — all (first compound member);;gata — gone, pervading (sarva-gata: 'all-pervading', nom. sg. neut.)
ब्रह्म|brahma|brahman — brahman (nom. sg.)
नित्यं|nityam|nitya — eternal, constant (nom. sg. neut., agreeing with brahma)
यज्ञे|yajñe|yajña — sacrifice (loc. sg.)
प्रतिष्ठितम्|pratiṣṭhitam|prati-sthā — to be established, grounded (pratiṣṭhita: past participle, nom. sg. neut.)
#16
एवं|evam|evam — thus
प्रवर्तितं|pravartitam|pra-vṛt — to set in motion (pravartita: causative past participle, acc. sg. neut. 'set in motion')
चक्रं|cakram|cakra — wheel (acc. sg.)
नानुवर्तयतीह|na anuvartayati iha|na — not (na + a- → nā-);;anu-vṛt — to keep turning, follow (anuvartayati: causative present 3rd sg.; -i + i- → -ī-);;iha — here, in this world
यः|yaḥ|yad — who (nom. sg. masc. relative)
--
अघायुरिन्द्रियारामो|aghāyuḥ indriya-ārāmaḥ|agha — sin (first compound member);;āyus — life (agha-āyus: 'whose life is sin', aghāyuḥ: nom. sg.; -uḥ + i- → -ur i-);;indriya — sense (first compound member);;ārāma — delight, pleasure-garden (indriya-ārāma: 'delighting in the senses', nom. sg.; -a + ā- → -ā-; visarga before m- → -o)
मोघं|mogham|mogha — vain, fruitless (adverbial acc. 'in vain')
पार्थ|pārtha|Pārtha — 'son of Pṛthā', Arjuna (vocative)
स|saḥ|tad — that, he (nom. sg. masc.)
जीवति|jīvati|jīv — to live (jīvati: present 3rd sg.)
#17
यस्त्वात्मरतिरेव|yaḥ tu ātma-ratiḥ eva|yad — who (yaḥ: nom. sg. masc. relative; -aḥ + t- → -as t-);;tu — but (tu + ā- → tvā-);;ātma — self (first compound member);;rati — delight (ātma-rati: 'delighting in the self', ratiḥ: nom. sg.; -iḥ + e- → -ir e-);;eva — alone, only
स्यादात्मतृप्तश्च|syāt ātma-tṛptaḥ ca|as — to be (syāt: optative 3rd sg. 'might be'; -t + ā- → -d ā-);;ātma — self (first compound member);;tṛpta — satisfied, content (ātma-tṛpta: 'satisfied in the self', nom. sg.; -aḥ + c- → -aś c-);;ca — and
मानवः|mānavaḥ|mānava — a man, a human being (nom. sg.)
--
आत्मन्येव|ātmani eva|ātman — self (ātmani: loc. sg.; -i + e- → -y e-);;eva — alone, only
च|ca|ca — and
सन्तुष्टस्तस्य|santuṣṭaḥ tasya|sam-tuṣ — to be satisfied (santuṣṭa: past participle, nom. sg. 'content'; -aḥ + t- → -as t-);;tad — that, he (tasya: gen. sg. 'for him')
कार्यं|kāryam|kṛ — to do (kārya: gerundive 'that which must be done, a duty', nom. sg. neut.)
न|na|na — not
विद्यते|vidyate|vid — to exist, be found (vidyate: present passive 3rd sg.)
#18
नैव|na eva|na — not (na + e- → nai-);;eva — at all, indeed
तस्य|tasya|tad — that, he (tasya: gen. sg. 'for him')
कृतेनार्थो|kṛtena arthaḥ|kṛ — to do (kṛta: past participle 'what is done', kṛtena: instr. sg. 'by what is done');;artha — purpose, concern (arthaḥ: nom. sg.; kṛtena + a- → kṛtenā-; visarga before n- → -o)
नाकृतेनेह|na akṛtena iha|na — not (na + a- → nā-);;a-kṛta — not done, undone (akṛtena: instr. sg. 'by what is not done'; akṛtena + i- → akṛtene-);;iha — here, in this matter
कश्चन|kaścana|kaścana — any, anyone whatsoever
--
न|na|na — not
चास्य|ca asya|ca — and (ca + a- → cā-);;idam — this, he (asya: gen. sg. 'his')
सर्वभूतेषु|sarva-bhūteṣu|sarva — all (first compound member);;bhūta — being (sarva-bhūta: 'all beings', loc. pl.)
कश्चिदर्थव्यपाश्रयः|kaścit artha-vyapāśrayaḥ|kaścit — any (kaścit + a- → kaścid a-);;artha — purpose, interest (first compound member);;vyapāśraya — reliance, recourse (artha-vyapāśraya: 'a reliance for [his own] interest', nom. sg.)
#19
तस्मादसक्तः|tasmāt asaktaḥ|tad — that (tasmāt: abl. sg. 'therefore'; -t + a- → -d a-);;a-sakta — unattached (asaktaḥ: nom. sg.)
सततं|satatam|satatam — constantly, always (adverb)
कार्यं|kāryam|kṛ — to do (kārya: gerundive 'that which is to be done', acc. sg. neut.)
कर्म|karma|karman — action (acc. sg., in apposition to kāryam)
समाचर|samācara|sam-ā-car — to perform (samācara: imperative 2nd sg. 'perform!')
--
असक्तो|asaktaḥ|a-sakta — unattached (nom. sg.; visarga before h- → -o)
ह्याचरन्कर्म|hi ācaran karma|hi — for, indeed (hi + ā- → hy ā-);;ā-car — to perform, do (ācaran: present participle, nom. sg. 'performing');;karman — action (acc. sg., object of ācaran)
परमाप्नोति|param āpnoti|para — supreme (param: acc. sg., the goal);;āp — to attain (āpnoti: present 3rd sg. 'attains')
पूरुषः|pūruṣaḥ|puruṣa — a man, a person (nom. sg.; epic variant spelling)
#20
कर्मणैव|karmaṇā eva|karman — action (karmaṇā: instr. sg.; -ā + e- → -ai-);;eva — alone, indeed
हि|hi|hi — for, indeed
संसिद्धिमास्थिता|saṃsiddhim āsthitāḥ|sam-sidh — to be perfected (saṃsiddhi: 'perfection', saṃsiddhim: acc. sg.);;ā-sthā — to resort to, attain, establish oneself in (āsthitāḥ: past participle, nom. pl. 'having attained')
जनकादयः|janaka-ādayaḥ|Janaka — Janaka, the philosopher-king of Videha (first compound member; janaka + ā- → janakā-);;ādi — beginning (ādayaḥ: 'those beginning with', i.e. 'and others', nom. pl.)
--
लोकसंग्रहमेवापि|loka-saṃgraham eva api|loka — world (first compound member);;saṃgraha — the holding-together, welfare (loka-saṃgraha: 'the world's welfare', acc. sg.);;eva — indeed (eva + a- → evā-);;api — also, even
संपश्यन्कर्तुमर्हसि|sampaśyan kartum arhasi|sam-paś — to consider, have regard to (sampaśyan: present participle, nom. sg. 'considering');;kṛ — to do (kartum: infinitive);;arh — to deserve, ought (arhasi: present 2nd sg. 'you ought')
#21
यद्यदाचरति|yat yat ācarati|yad — whatever (yat yat: doubled relative, distributive 'whatever'; -t + ā- → -d ā-)
श्रेष्ठस्तत्तदेवेतरो|śreṣṭhaḥ tat tat eva itaraḥ|śreṣṭha — the best, most excellent (śreṣṭhaḥ: nom. sg.; -aḥ + t- → -as t-);;tad — that (tat tat: acc. sg. neut. doubled, 'that very thing', correlative to yat yat; -t + e- → -d e-);;eva — indeed, exactly;;itara — other, ordinary (itaraḥ: nom. sg.; eva + i- → eve-; visarga before j- → -o)
जनः|janaḥ|jana — person, people (nom. sg.)
--
स|saḥ|tad — that, he (nom. sg. masc.)
यत्प्रमाणं|yat pramāṇam|yad — what (yat: acc. sg. neut. relative);;pramāṇa — standard, measure, authority (pramāṇam: acc. sg.)
कुरुते|kurute|kṛ — to make, set (kurute: present middle 3rd sg.)
लोकस्तदनुवर्तते|lokaḥ tat anuvartate|loka — world, people (lokaḥ: nom. sg.; -aḥ + t- → -as t-);;tad — that (tat: acc. sg. neut.);;anu-vṛt — to follow (anuvartate: present middle 3rd sg.)
#22
न|na|na — not
मे|me|aham — I (me: enclitic gen. sg. 'for me')
पार्थास्ति|pārtha asti|Pārtha — 'son of Pṛthā', Arjuna (vocative; pārtha + a- → pārthā-);;as — to be (asti: present 3rd sg. 'there is')
कर्तव्यं|kartavyam|kṛ — to do (kartavya: gerundive 'that which must be done, a duty', nom. sg. neut.)
त्रिषु|triṣu|tri — three (loc. pl.)
लोकेषु|lokeṣu|loka — world (loc. pl.)
किंचन|kiṃcana|kiṃcana — anything whatsoever (nom. sg. neut.)
--
नानवाप्तमवाप्तव्यं|na anavāptam avāptavyam|na — not (na + a- → nā-);;an-ava-āp — to not have attained (anavāpta: past participle 'unobtained', nom. sg. neut.);;ava-āp — to attain (avāptavya: gerundive 'that must be attained', nom. sg. neut.)
वर्त|varte|vṛt — to be occupied, engaged (varte: present middle 1st sg. 'I remain engaged'; its final -e reduces to -a before the following eva)
एव|eva|eva — even, indeed
च|ca|ca — and
कर्मणि|karmaṇi|karman — action (loc. sg.)
#23
यदि|yadi|yadi — if
ह्यहं|hi aham|hi — for, indeed (hi + a- → hy a-);;aham — I (nom. sg.)
न|na|na — not
वर्तेयं|varteyam|vṛt — to be occupied, engaged (varteyam: optative 1st sg. 'I might remain engaged')
जातु|jātu|jātu — ever (adverb)
कर्मण्यतन्द्रितः|karmaṇi atandritaḥ|karman — action (karmaṇi: loc. sg.; -i + a- → -y a-);;a-tandrita — untiring, unwearied, vigilant (atandritaḥ: nom. sg.)
--
मम|mama|aham — I (mama: gen. sg. 'my')
वर्त्मानुवर्तन्ते|vartma anuvartante|vartman — path, track (vartma: nom. sg. neut.; vartma + a- → vartmā-);;anu-vṛt — to follow (anuvartante: present middle 3rd pl.)
मनुष्याः|manuṣyāḥ|manuṣya — a man, a human being (nom. pl.)
पार्थ|pārtha|Pārtha — 'son of Pṛthā', Arjuna (vocative)
सर्वशः|sarvaśaḥ|sarvaśaḥ — in every way, altogether (adverb)
#24
उत्सीदेयुरिमे|utsīdeyuḥ ime|ud-sad — to perish, sink, collapse (utsīdeyuḥ: optative 3rd pl. 'would perish'; -uḥ + i- → -ur i-);;idam — this (ime: nom. pl. masc. 'these')
लोका|lokāḥ|loka — world, people (nom. pl.; visarga dropped before n-)
न|na|na — not
कुर्यां|kuryām|kṛ — to do (kuryām: optative 1st sg. 'I might do')
कर्म|karma|karman — action (acc. sg.)
चेदहम्|cet aham|cet — if (cet + a- → ced a-);;aham — I (nom. sg.)
--
संकरस्य|saṃkarasya|saṃkara — confusion, admixture (gen. sg.)
च|ca|ca — and
कर्ता|kartā|kṛ — to do (kartṛ: agent noun 'doer', kartā: nom. sg.)
स्यामुपहन्यामिमाः|syām upahanyām imāḥ|as — to be (syām: optative 1st sg. 'I might be');;upa-han — to destroy, harm (upahanyām: optative 1st sg. 'I might destroy');;idam — this (imāḥ: acc. pl. 'these')
प्रजाः|prajāḥ|prajā — creature, subject (acc. pl.)
#25
सक्ताः|saktāḥ|sakta — attached (nom. pl.)
कर्मण्यविद्वांसो|karmaṇi avidvāṃsaḥ|karman — action (karmaṇi: loc. sg.; -i + a- → -y a-);;a-vidvas — not knowing, unwise, ignorant (avidvāṃsaḥ: nom. pl.; visarga before y- → -o)
यथा|yathā|yathā — just as
कुर्वन्ति|kurvanti|kṛ — to do, act (kurvanti: present 3rd pl.)
भारत|bhārata|Bhārata — descendant of Bharata, Arjuna (vocative)
--
